Subject_ID,Trial,Word_List,Recalled_Words,Recall_Count,Intrusions,Intrusion_Count,Clustering_Score
3,3,"Italy, France, Germany, Blue, Red, Purple, Sparrow, Eagle, Pigeon, New York, Sydney, Rome","Blue, Rome, Germany, Pigeon, Sydney, Purple, Sparrow, Red, Eagle, Italy, New York, France",12,Berlin,1,0.09
3,4,"Italy, France, Germany, Blue, Red, Purple, Sparrow, Eagle, Pigeon, New York, Sydney, Rome","Purple, New York, Sparrow, Eagle, Blue, France, Italy",7,,0,0.21
3,5,"Italy, France, Germany, Blue, Red, Purple, Sparrow, Eagle, Pigeon, New York, Sydney, Rome","Sydney, Eagle, Blue, Italy, Rome, France, New York, Sparrow, Germany, Pigeon, Red",11,"Germany, New York",2,0.26
3,6,"Italy, France, Germany, Blue, Red, Purple, Sparrow, Eagle, Pigeon, New York, Sydney, Rome","Sparrow, Purple, Sydney, Germany, New York, Pigeon, Rome, Blue, Eagle, Red, France",11,"Canada, White, China",3,0.16
4,1,"Canada, Spain, France, White, Orange, Green, Robin, Owl, Sparrow, Toronto, London, New York","Sparrow, Owl, London, Green, Robin, New York, Canada, Spain, Toronto, White",10,"Peacock, Orange, France",3,0.59
4,2,"Canada, Spain, France, White, Orange, Green, Robin, Owl, Sparrow, Toronto, London, New York","Toronto, Sparrow, Owl, White, New York, Canada, London, France, Robin",9,"Falcon, Toronto",2,0.32
4,3,"Canada, Spain, France, White, Orange, Green, Robin, Owl, Sparrow, Toronto, London, New York","New York, Spain, London, Canada, Green, France, White, Owl, Orange, Toronto",10,"Italy, Berlin",2,0.72
4,4,"Canada, Spain, France, White, Orange, Green, Robin, Owl, Sparrow, Toronto, London, New York","Toronto, Green, White, New York, Orange, Owl, Spain, Sparrow",8,"Rome, Purple",2,0.84
4,5,"Canada, Spain, France, White, Orange, Green, Robin, Owl, Sparrow, Toronto, London, New York","New York, London, France, Green, Spain, Robin, Sparrow",7,"Yellow, Owl, Black",3,0.21
4,6,"Canada, Spain, France, White, Orange, Green, Robin, Owl, Sparrow, Toronto, London, New York","Spain, Sparrow, Green, White, New York, France, Canada, Robin, London",9,"Falcon, Tokyo",2,0.02
5,1,"China, Canada, Japan, Blue, Orange, Pink, Robin, Peacock, Eagle, Sydney, Tokyo, Dubai","Blue, Robin, China, Tokyo, Dubai, Peacock, Orange, Canada, Sydney, Eagle, Japan",11,"India, Falcon, Dubai",3,0.6
5,2,"China, Canada, Japan, Blue, Orange, Pink, Robin, Peacock, Eagle, Sydney, Tokyo, Dubai","Orange, Tokyo, Sydney, Peacock, Robin, Canada, Blue, Japan, Pink",9,"Japan, Green, White",3,0.55
5,3,"China, Canada, Japan, Blue, Orange, Pink, Robin, Peacock, Eagle, Sydney, Tokyo, Dubai","Tokyo, Blue, Eagle, Japan, Orange, China, Pink, Canada, Sydney, Dubai, Robin, Peacock",12,,0,0.75
5,4,"China, Canada, Japan, Blue, Orange, Pink, Robin, Peacock, Eagle, Sydney, Tokyo, Dubai","Eagle, China, Pink, Sydney, Canada, Orange, Robin",7,Owl,1,0.8
5,5,"China, Canada, Japan, Blue, Orange, Pink, Robin, Peacock, Eagle, Sydney, Tokyo, Dubai","Orange, Peacock, Canada, Tokyo, Robin, China, Pink, Dubai, Blue, Eagle, Japan",11,"Green, Spain, China",3,0.9
5,6,"China, Canada, Japan, Blue, Orange, Pink, Robin, Peacock, Eagle, Sydney, Tokyo, Dubai","Peacock, Pink, China, Robin, Canada, Eagle, Blue",7,Penguin,1,0.43
6,1,"Italy, France, Germany, Orange, Purple, Black, Parrot, Pigeon, Sparrow, Berlin, Toronto, Dubai","Orange, France, Dubai, Berlin, Sparrow, Purple",6,,0,0.35
6,2,"Italy, France, Germany, Orange, Purple, Black, Parrot, Pigeon, Sparrow, Berlin, Toronto, Dubai","France, Black, Orange, Purple, Germany, Pigeon",6,"Hawk, Red, Sydney",3,0.9
6,3,"Italy, France, Germany, Orange, Purple, Black, Parrot, Pigeon, Sparrow, Berlin, Toronto, Dubai","Berlin, Purple, Sparrow, Germany, Toronto, France",6,Dubai,1,0.12
6,4,"Italy, France, Germany, Orange, Purple, Black, Parrot, Pigeon, Sparrow, Berlin, Toronto, Dubai","Italy, Toronto, Parrot, Sparrow, Dubai, Black, Berlin, France, Purple, Orange, Pigeon, Germany",12,"Orange, Peacock",2,0.72
6,5,"Italy, France, Germany, Orange, Purple, Black, Parrot, Pigeon, Sparrow, Berlin, Toronto, Dubai","Parrot, Black, France, Pigeon, Germany, Sparrow, Dubai, Purple, Italy, Orange",10,"Black, Mexico",2,0.3
6,6,"Italy, France, Germany, Orange, Purple, Black, Parrot, Pigeon, Sparrow, Berlin, Toronto, Dubai","France, Dubai, Parrot, Germany, Black, Sparrow, Berlin, Purple, Orange, Italy, Pigeon",11,"Brown, Green, Toronto",3,1.0
7,1,"Germany, Brazil, Italy, Blue, White, Brown, Owl, Eagle, Sparrow, New York, Rome, Tokyo","Rome, Italy, Brown, Blue, White, Germany, Sparrow",7,,0,0.68
7,2,"Germany, Brazil, Italy, Blue, White, Brown, Owl, Eagle, Sparrow, New York, Rome, Tokyo","Brazil, Sparrow, Eagle, Brown, White, New York, Italy",7,,0,0.61
7,3,"Germany, Brazil, Italy, Blue, White, Brown, Owl, Eagle, Sparrow, New York, Rome, Tokyo","Italy, Blue, White, Sparrow, Eagle, New York, Brazil, Germany, Rome, Tokyo",10,"Pink, Italy",2,0.25
7,4,"Germany, Brazil, Italy, Blue, White, Brown, Owl, Eagle, Sparrow, New York, Rome, Tokyo","Germany, Brown, New York, White, Tokyo, Italy",6,"Purple, Red, Rome",3,0.34
7,5,"Germany, Brazil, Italy, Blue, White, Brown, Owl, Eagle, Sparrow, New York, Rome, Tokyo","Eagle, Italy, Brazil, Tokyo, Germany, White",6,London,1,0.48
7,6,"Germany, Brazil, Italy, Blue, White, Brown, Owl, Eagle, Sparrow, New York, Rome, Tokyo","Tokyo, Blue, Sparrow, Eagle, Rome, Brazil, Owl",7,"Brown, Owl, Spain",3,0.92
8,1,"Italy, Germany, Mexico, Blue, Purple, Black, Parrot, Peacock, Penguin, Rome, Sydney, Berlin","Rome, Italy, Blue, Peacock, Purple, Penguin, Mexico, Sydney, Black",9,Pigeon,1,0.12
8,2,"Italy, Germany, Mexico, Blue, Purple, Black, Parrot, Peacock, Penguin, Rome, Sydney, Berlin","Italy, Rome, Germany, Parrot, Sydney, Peacock, Mexico, Blue, Penguin",9,"Penguin, Parrot, Sydney",3,0.42
8,3,"Italy, Germany, Mexico, Blue, Purple, Black, Parrot, Peacock, Penguin, Rome, Sydney, Berlin","Rome, Parrot, Sydney, Italy, Peacock, Blue, Purple",7,"Italy, Red",2,0.45
8,4,"Italy, Germany, Mexico, Blue, Purple, Black, Parrot, Peacock, Penguin, Rome, Sydney, Berlin","Mexico, Penguin, Sydney, Blue, Parrot, Berlin",6,Parrot,1,0.84
8,5,"Italy, Germany, Mexico, Blue, Purple, Black, Parrot, Peacock, Penguin, Rome, Sydney, Berlin","Penguin, Rome, Germany, Black, Purple, Peacock, Berlin, Mexico",8,,0,0.5
8,6,"Italy, Germany, Mexico, Blue, Purple, Black, Parrot, Peacock, Penguin, Rome, Sydney, Berlin","Blue, Germany, Sydney, Black, Penguin, Parrot, Purple, Mexico, Rome",9,Spain,1,0.77
9,1,"Brazil, Japan, India, Pink, Blue, Black, Parrot, Sparrow, Hawk, Tokyo, Toronto, Sydney","Toronto, Brazil, Sydney, Japan, Tokyo, Pink, Hawk, Black, Parrot, India, Blue, Sparrow",12,Sydney,1,0.54
9,2,"Brazil, Japan, India, Pink, Blue, Black, Parrot, Sparrow, Hawk, Tokyo, Toronto, Sydney","Hawk, Pink, Black, India, Tokyo, Brazil, Toronto, Sydney, Blue",9,"Paris, Orange, Mexico",3,0.35
9,3,"Brazil, Japan, India, Pink, Blue, Black, Parrot, Sparrow, Hawk, Tokyo, Toronto, Sydney","Pink, Tokyo, Sparrow, Black, India, Parrot, Hawk, Sydney",8,Pink,1,0.8
9,4,"Brazil, Japan, India, Pink, Blue, Black, Parrot, Sparrow, Hawk, Tokyo, Toronto, Sydney","Sparrow, Tokyo, Brazil, Pink, Hawk, Sydney, Parrot, Black, Toronto, Blue, India, Japan",12,,0,0.48
9,5,"Brazil, Japan, India, Pink, Blue, Black, Parrot, Sparrow, Hawk, Tokyo, Toronto, Sydney","Hawk, India, Pink, Parrot, Toronto, Sparrow, Tokyo, Black, Blue, Sydney",10,Sparrow,1,0.09
9,6,"Brazil, Japan, India, Pink, Blue, Black, Parrot, Sparrow, Hawk, Tokyo, Toronto, Sydney","Sydney, India, Tokyo, Sparrow, Blue, Parrot, Black, Pink, Japan, Hawk",10,"Blue, Dubai",2,0.12
10,1,"Brazil, Italy, Germany, Purple, Red, Pink, Robin, Sparrow, Owl, Toronto, Tokyo, Berlin","Red, Brazil, Purple, Berlin, Toronto, Tokyo, Italy, Pink, Sparrow, Germany, Robin, Owl",12,,0,0.24
10,2,"Brazil, Italy, Germany, Purple, Red, Pink, Robin, Sparrow, Owl, Toronto, Tokyo, Berlin","Toronto, Tokyo, Pink, Berlin, Sparrow, Robin, Red, Germany, Owl, Purple, Brazil, Italy",12,Germany,1,0.62
10,3,"Brazil, Italy, Germany, Purple, Red, Pink, Robin, Sparrow, Owl, Toronto, Tokyo, Berlin","Brazil, Sparrow, Italy, Robin, Purple, Tokyo, Berlin, Pink",8,,0,0.36
10,4,"Brazil, Italy, Germany, Purple, Red, Pink, Robin, Sparrow, Owl, Toronto, Tokyo, Berlin","Brazil, Pink, Owl, Germany, Sparrow, Purple, Toronto, Red, Berlin, Tokyo, Italy, Robin",12,Brown,1,0.2
10,5,"Brazil, Italy, Germany, Purple, Red, Pink, Robin, Sparrow, Owl, Toronto, Tokyo, Berlin","Purple, Robin, Red, Berlin, Sparrow, Tokyo, Germany",7,"Germany, Robin, France",3,0.65
10,6,"Brazil, Italy, Germany, Purple, Red, Pink, Robin, Sparrow, Owl, Toronto, Tokyo, Berlin","Robin, Red, Toronto, Tokyo, Berlin, Sparrow, Pink, Owl, Italy, Germany",10,,0,0.17
11,1,"Canada, France, India, Pink, Brown, Orange, Falcon, Pigeon, Owl, New York, Rome, Berlin","Rome, Pigeon, Orange, Brown, Canada, New York",6,"Cairo, White",2,0.9
11,2,"Canada, France, India, Pink, Brown, Orange, Falcon, Pigeon, Owl, New York, Rome, Berlin","Canada, France, India, Pigeon, Rome, Falcon, Owl, New York",8,London,1,0.31
11,3,"Canada, France, India, Pink, Brown, Orange, Falcon, Pigeon, Owl, New York, Rome, Berlin","Berlin, Owl, India, France, Pink, New York, Rome",7,,0,0.76
11,4,"Canada, France, India, Pink, Brown, Orange, Falcon, Pigeon, Owl, New York, Rome, Berlin","Brown, Falcon, Canada, New York, Rome, India, Orange, Pink, Berlin",9,"Peacock, Rome, Cairo",3,0.39
11,5,"Canada, France, India, Pink, Brown, Orange, Falcon, Pigeon, Owl, New York, Rome, Berlin","Pigeon, Canada, Pink, Owl, Berlin, France, Rome, Orange, New York",9,"France, Pigeon",2,0.26
11,6,"Canada, France, India, Pink, Brown, Orange, Falcon, Pigeon, Owl, New York, Rome, Berlin","Orange, Rome, Brown, India, France, Pigeon, Falcon, Pink, Owl, Berlin, Canada, New York",12,"Eagle, Pigeon",2,0.45
12,1,"China, Germany, Japan, Purple, Orange, Red, Sparrow, Eagle, Peacock, Sydney, Dubai, Paris","Red, Japan, Dubai, Paris, China, Eagle",6,,0,0.9
12,2,"China, Germany, Japan, Purple, Orange, Red, Sparrow, Eagle, Peacock, Sydney, Dubai, Paris","Orange, Peacock, Paris, Red, Eagle, Sydney, Dubai",7,"Red, Sparrow",2,0.57
12,3,"China, Germany, Japan, Purple, Orange, Red, Sparrow, Eagle, Peacock, Sydney, Dubai, Paris","Red, Peacock, Purple, Paris, Sparrow, Japan, Dubai, China",8,,0,0.14
12,4,"China, Germany, Japan, Purple, Orange, Red, Sparrow, Eagle, Peacock, Sydney, Dubai, Paris","Paris, Sydney, Sparrow, Red, Dubai, Orange",6,"Blue, Eagle",2,0.43
12,5,"China, Germany, Japan, Purple, Orange, Red, Sparrow, Eagle, Peacock, Sydney, Dubai, Paris","Dubai, Sparrow, Purple, Japan, Eagle, Peacock, Paris, Orange, China, Red",10,"France, Hawk, Cairo",3,0.08
12,6,"China, Germany, Japan, Purple, Orange, Red, Sparrow, Eagle, Peacock, Sydney, Dubai, Paris","Orange, Eagle, Purple, Sydney, Japan, Red, Germany, China, Paris, Dubai, Peacock",11,"Dubai, Paris",2,0.92
13,1,"France, China, Brazil, White, Orange, Pink, Parrot, Penguin, Owl, Sydney, Tokyo, Toronto","Sydney, White, Owl, Brazil, Tokyo, France, China",7,"Mexico, Peacock",2,0.34
13,2,"France, China, Brazil, White, Orange, Pink, Parrot, Penguin, Owl, Sydney, Tokyo, Toronto","Penguin, Toronto, Pink, Parrot, France, Orange, Tokyo",7,"Green, Purple",2,0.91
13,3,"France, China, Brazil, White, Orange, Pink, Parrot, Penguin, Owl, Sydney, Tokyo, Toronto","Orange, France, Brazil, China, Parrot, Penguin, Sydney, Toronto, Tokyo, Owl, White",11,Rome,1,0.34
13,4,"France, China, Brazil, White, Orange, Pink, Parrot, Penguin, Owl, Sydney, Tokyo, Toronto","Pink, China, France, Tokyo, Orange, Owl, White, Brazil, Penguin, Toronto, Parrot",11,"Paris, Peacock",2,0.03
13,5,"France, China, Brazil, White, Orange, Pink, Parrot, Penguin, Owl, Sydney, Tokyo, Toronto","Penguin, Tokyo, Parrot, Brazil, Owl, Toronto",6,,0,0.66
13,6,"France, China, Brazil, White, Orange, Pink, Parrot, Penguin, Owl, Sydney, Tokyo, Toronto","Orange, Sydney, Owl, Toronto, Pink, France, China, Tokyo",8,Mexico,1,0.23
14,1,"Italy, France, Brazil, Purple, Black, Red, Eagle, Pigeon, Hawk, Dubai, Cairo, Rome","Hawk, Red, Pigeon, Purple, Cairo, Eagle",6,"Yellow, India",2,0.91
14,2,"Italy, France, Brazil, Purple, Black, Red, Eagle, Pigeon, Hawk, Dubai, Cairo, Rome","Red, France, Rome, Italy, Hawk, Brazil",6,"Canada, Brown, Penguin",3,0.84
14,3,"Italy, France, Brazil, Purple, Black, Red, Eagle, Pigeon, Hawk, Dubai, Cairo, Rome","Rome, Cairo, Dubai, Purple, Eagle, France, Hawk, Black, Italy",9,"Penguin, New York, Toronto",3,0.05
14,4,"Italy, France, Brazil, Purple, Black, Red, Eagle, Pigeon, Hawk, Dubai, Cairo, Rome","Rome, Cairo, Dubai, Hawk, Brazil, Black, Italy, Purple, Red, Pigeon, Eagle, France",12,"Red, Tokyo, Owl",3,0.25
14,5,"Italy, France, Brazil, Purple, Black, Red, Eagle, Pigeon, Hawk, Dubai, Cairo, Rome","Dubai, Hawk, Rome, Brazil, Black, Italy, Purple, Red, Eagle",9,"Brown, Paris",2,0.96
14,6,"Italy, France, Brazil, Purple, Black, Red, Eagle, Pigeon, Hawk, Dubai, Cairo, Rome","Cairo, Eagle, Black, Red, Purple, Rome, Pigeon, Brazil, Hawk, Italy",10,Purple,1,0.26
15,1,"Spain, Brazil, China, Brown, Pink, Orange, Eagle, Pigeon, Owl, Rome, Dubai, Paris","Pigeon, Paris, Orange, Brazil, Brown, Dubai, Rome, China, Spain, Eagle",10,,0,0.07
15,2,"Spain, Brazil, China, Brown, Pink, Orange, Eagle, Pigeon, Owl, Rome, Dubai, Paris","Brazil, Owl, Dubai, Eagle, Spain, Orange, Brown, China, Pigeon, Rome, Pink",11,"Red, Yellow",2,0.31
15,3,"Spain, Brazil, China, Brown, Pink, Orange, Eagle, Pigeon, Owl, Rome, Dubai, Paris","Brazil, Pigeon, Orange, Eagle, Pink, Owl, Brown, Rome, Dubai, Spain, China",11,,0,0.66
15,4,"Spain, Brazil, China, Brown, Pink, Orange, Eagle, Pigeon, Owl, Rome, Dubai, Paris","Paris, Orange, Rome, Brazil, Pigeon, Spain, Dubai",7,,0,0.05
15,5,"Spain, Brazil, China, Brown, Pink, Orange, Eagle, Pigeon, Owl, Rome, Dubai, Paris","Rome, Eagle, Pink, Dubai, Spain, Brown, Brazil, Orange, Pigeon, Owl, China, Paris",12,"Tokyo, Brazil",2,0.72
15,6,"Spain, Brazil, China, Brown, Pink, Orange, Eagle, Pigeon, Owl, Rome, Dubai, Paris","Eagle, Brown, Pink, Pigeon, Rome, Brazil, Owl, China, Orange",9,"Brown, India",2,0.06
16,1,"Spain, Germany, Mexico, White, Green, Red, Robin, Falcon, Pigeon, Berlin, Paris, Toronto","Germany, Spain, Berlin, Pigeon, Robin, Paris, Mexico, Green, Toronto, White",10,Penguin,1,0.96
16,2,"Spain, Germany, Mexico, White, Green, Red, Robin, Falcon, Pigeon, Berlin, Paris, Toronto","Paris, Berlin, Pigeon, Mexico, Germany, Red, Spain",7,Mexico,1,0.89
16,3,"Spain, Germany, Mexico, White, Green, Red, Robin, Falcon, Pigeon, Berlin, Paris, Toronto","Red, Pigeon, Green, Berlin, Mexico, Falcon, White, Robin, Germany, Spain, Paris, Toronto",12,,0,0.88
16,4,"Spain, Germany, Mexico, White, Green, Red, Robin, Falcon, Pigeon, Berlin, Paris, Toronto","Mexico, Red, Robin, Toronto, Falcon, Germany, Paris",7,"Tokyo, Germany",2,0.69
16,5,"Spain, Germany, Mexico, White, Green, Red, Robin, Falcon, Pigeon, Berlin, Paris, Toronto","Red, Robin, Pigeon, Berlin, Spain, Paris",6,Peacock,1,0.84
16,6,"Spain, Germany, Mexico, White, Green, Red, Robin, Falcon, Pigeon, Berlin, Paris, Toronto","Falcon, Mexico, Pigeon, Toronto, Paris, Green",6,"Cairo, Black, Tokyo",3,0.44
17,1,"France, Germany, Canada, Black, White, Pink, Owl, Eagle, Hawk, Cairo, Sydney, Rome","White, Owl, Black, Pink, Cairo, Sydney, Canada",7,Canada,1,0.43
17,2,"France, Germany, Canada, Black, White, Pink, Owl, Eagle, Hawk, Cairo, Sydney, Rome","Germany, France, White, Cairo, Pink, Eagle, Rome, Canada",8,"Berlin, Yellow",2,0.64
17,3,"France, Germany, Canada, Black, White, Pink, Owl, Eagle, Hawk, Cairo, Sydney, Rome","Hawk, Sydney, Eagle, Canada, France, Rome, Black, Pink, Owl",9,Rome,1,0.72
17,4,"France, Germany, Canada, Black, White, Pink, Owl, Eagle, Hawk, Cairo, Sydney, Rome","France, Black, Pink, Hawk, Rome, Eagle, Owl, Sydney, Germany, Canada",10,,0,0.19
17,5,"France, Germany, Canada, Black, White, Pink, Owl, Eagle, Hawk, Cairo, Sydney, Rome","Rome, Owl, White, Canada, Sydney, Pink, Eagle, Hawk",8,"Cairo, New York, Orange",3,0.44
17,6,"France, Germany, Canada, Black, White, Pink, Owl, Eagle, Hawk, Cairo, Sydney, Rome","Canada, Hawk, Pink, White, Black, France, Owl, Eagle, Rome, Cairo, Germany, Sydney",12,,0,0.04
18,1,"China, India, Brazil, Yellow, Black, Orange, Robin, Sparrow, Parrot, London, Paris, New York","Orange, Yellow, Robin, Sparrow, Paris, New York, India",7,,0,0.85
18,2,"China, India, Brazil, Yellow, Black, Orange, Robin, Sparrow, Parrot, London, Paris, New York","New York, Black, Brazil, Yellow, Parrot, India, Paris, Robin, China, Orange",10,"Canada, Italy",2,0.12
18,3,"China, India, Brazil, Yellow, Black, Orange, Robin, Sparrow, Parrot, London, Paris, New York","Parrot, Paris, London, Yellow, Robin, Sparrow, Brazil",7,"Parrot, Eagle, White",3,0.54
18,4,"China, India, Brazil, Yellow, Black, Orange, Robin, Sparrow, Parrot, London, Paris, New York","Parrot, London, Robin, Orange, India, New York, Sparrow, Black, China, Yellow",10,Pink,1,0.59
18,5,"China, India, Brazil, Yellow, Black, Orange, Robin, Sparrow, Parrot, London, Paris, New York","Paris, Yellow, China, Parrot, Black, India, London",7,"Toronto, China, Orange",3,0.65
18,6,"China, India, Brazil, Yellow, Black, Orange, Robin, Sparrow, Parrot, London, Paris, New York","Orange, Sparrow, India, New York, Brazil, Paris, Black, China, Robin",9,"Penguin, Yellow",2,0.71
19,1,"India, Germany, Spain, Black, Orange, Green, Pigeon, Parrot, Falcon, Sydney, London, Toronto","Spain, Germany, Parrot, Orange, Black, Toronto, Sydney",7,,0,0.55
19,2,"India, Germany, Spain, Black, Orange, Green, Pigeon, Parrot, Falcon, Sydney, London, Toronto","Green, Falcon, Spain, Germany, Sydney, Orange, Pigeon, Toronto, London, Parrot",10,"Purple, Robin",2,0.5
19,3,"India, Germany, Spain, Black, Orange, Green, Pigeon, Parrot, Falcon, Sydney, London, Toronto","Sydney, Black, India, Germany, Falcon, Pigeon, Green",7,"Falcon, Dubai",2,0.34
19,4,"India, Germany, Spain, Black, Orange, Green, Pigeon, Parrot, Falcon, Sydney, London, Toronto","Parrot, Germany, Black, Pigeon, Green, Toronto, Spain, Sydney, India, Falcon, Orange",11,"Penguin, Falcon, Berlin",3,0.86
19,5,"India, Germany, Spain, Black, Orange, Green, Pigeon, Parrot, Falcon, Sydney, London, Toronto","Sydney, Orange, India, Germany, Parrot, Spain, Pigeon, Green, Falcon, Black, Toronto",11,Canada,1,0.58
19,6,"India, Germany, Spain, Black, Orange, Green, Pigeon, Parrot, Falcon, Sydney, London, Toronto","Black, London, Sydney, India, Spain, Germany, Parrot",7,Brown,1,0.34
20,1,"Mexico, Germany, Japan, Blue, Pink, Green, Robin, Owl, Penguin, New York, London, Paris","Mexico, New York, London, Germany, Japan, Pink, Penguin",7,"Germany, Cairo",2,0.69
20,2,"Mexico, Germany, Japan, Blue, Pink, Green, Robin, Owl, Penguin, New York, London, Paris","New York, Owl, Germany, London, Green, Blue, Robin, Paris, Japan",9,India,1,0.75
20,3,"Mexico, Germany, Japan, Blue, Pink, Green, Robin, Owl, Penguin, New York, London, Paris","London, New York, Green, Robin, Blue, Penguin, Paris, Owl, Germany, Mexico, Pink",11,"Toronto, Canada",2,0.7
20,4,"Mexico, Germany, Japan, Blue, Pink, Green, Robin, Owl, Penguin, New York, London, Paris","Pink, Germany, Green, Penguin, Paris, New York, Robin, Owl, Japan, Blue",10,"Parrot, China, Robin",3,0.19
20,5,"Mexico, Germany, Japan, Blue, Pink, Green, Robin, Owl, Penguin, New York, London, Paris","Penguin, Owl, Pink, New York, Mexico, London, Robin, Paris, Blue",9,"Green, Yellow",2,0.4
20,6,"Mexico, Germany, Japan, Blue, Pink, Green, Robin, Owl, Penguin, New York, London, Paris","Paris, Green, London, Mexico, New York, Blue, Japan, Penguin, Germany, Pink, Owl, Robin",12,"Penguin, Blue",2,0.14
21,1,"Germany, Italy, Canada, Brown, Red, Orange, Peacock, Hawk, Owl, Berlin, Tokyo, Toronto","Canada, Germany, Italy, Hawk, Red, Tokyo, Berlin, Orange",8,"Brown, Peacock, Falcon",3,0.57
21,2,"Germany, Italy, Canada, Brown, Red, Orange, Peacock, Hawk, Owl, Berlin, Tokyo, Toronto","Hawk, Germany, Owl, Peacock, Tokyo, Italy, Red",7,Pigeon,1,0.09
21,3,"Germany, Italy, Canada, Brown, Red, Orange, Peacock, Hawk, Owl, Berlin, Tokyo, Toronto","Brown, Italy, Berlin, Peacock, Toronto, Orange, Germany",7,,0,0.9
21,4,"Germany, Italy, Canada, Brown, Red, Orange, Peacock, Hawk, Owl, Berlin, Tokyo, Toronto","Canada, Germany, Red, Hawk, Toronto, Orange, Brown",7,Sparrow,1,0.99
21,5,"Germany, Italy, Canada, Brown, Red, Orange, Peacock, Hawk, Owl, Berlin, Tokyo, Toronto","Canada, Peacock, Owl, Hawk, Orange, Tokyo, Toronto, Red, Italy",9,"Berlin, Robin",2,0.12
21,6,"Germany, Italy, Canada, Brown, Red, Orange, Peacock, Hawk, Owl, Berlin, Tokyo, Toronto","Berlin, Brown, Orange, Hawk, Italy, Toronto, Owl, Peacock, Tokyo, Germany",10,"Red, Dubai",2,0.51
22,1,"Italy, Spain, China, Red, Blue, White, Falcon, Pigeon, Robin, Dubai, Toronto, Cairo","Robin, Spain, Dubai, Falcon, Italy, Blue, White",7,"Green, London, Blue",3,0.62
22,2,"Italy, Spain, China, Red, Blue, White, Falcon, Pigeon, Robin, Dubai, Toronto, Cairo","Spain, White, Dubai, Robin, China, Falcon",6,,0,0.38
22,3,"Italy, Spain, China, Red, Blue, White, Falcon, Pigeon, Robin, Dubai, Toronto, Cairo","Cairo, Falcon, Italy, Toronto, Red, China, Blue",7,"Black, Tokyo, Cairo",3,0.74
22,4,"Italy, Spain, China, Red, Blue, White, Falcon, Pigeon, Robin, Dubai, Toronto, Cairo","Pigeon, White, China, Dubai, Red, Toronto, Falcon, Cairo",8,Purple,1,0.7
